Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Keith Acton,27,MNS,C,79,26,32,58,-12,100,3.4,19,5,2,2,23,7,2,169,15.4,,,actonke01
2,Greg Adams,25,WSH,LW,78,18,38,56,24,152,3.8,15,3,0,2,27,11,0,150,12.0,,,adamsgr01
3,Greg Adams,22,NJD,C,78,35,42,77,-7,30,5.3,25,10,0,2,31,11,0,202,17.3,,,adamsgr02
4,Mike Allison,24,NYR,LW,28,2,13,15,4,22,0.6,2,0,0,0,13,0,0,26,7.7,,,allismi01
5,Glenn Anderson*,25,EDM,RW,72,54,48,102,38,90,8.9,34,18,2,9,33,15,0,242,22.3,,,andergl01
6,John Anderson,28,TOT,LW,79,29,45,74,18,28,5.5,17,9,3,6,22,22,1,239,12.1,,,anderjo01
6,John Anderson,28,QUE,RW,65,21,28,49,0,26,3.1,10,8,3,5,11,16,1,190,11.1,,,anderjo01
6,John Anderson,28,HAR,LW,14,8,17,25,18,2,2.4,7,1,0,1,11,6,0,49,16.3,,,anderjo01
7,Perry Anderson,24,NJD,LW,51,7,12,19,-7,91,0.2,6,1,0,1,12,0,0,61,11.5,,,anderpe01
8,Mikael Andersson,19,BUF,LW,32,1,9,10,-1,4,0.0,1,0,0,0,8,1,0,13,7.7,,,andermi01
9,Peter Andersson,23,TOT,D,73,7,24,31,0,40,5.4,3,4,0,3,12,12,0,100,7.0,,,anderpe02
9,Peter Andersson,23,WSH,D,61,6,16,22,-8,36,3.8,3,3,0,3,8,8,0,84,7.1,,,anderpe02
9,Peter Andersson,23,QUE,D,12,1,8,9,8,4,1.5,0,1,0,0,4,4,0,16,6.3,,,anderpe02
10,Dave Andreychuk*,22,BUF,RW,80,36,51,87,3,61,6.7,24,12,0,3,33,18,0,226,15.9,,,andreda01
11,Jim Archibald,24,MNS,RW,11,0,0,0,-3,32,-0.4,0,0,0,0,0,0,0,7,0.0,,,archiji01
12,Scott Arniel,23,WIN,LW,80,18,25,43,-9,40,2.0,15,3,0,0,21,4,0,125,14.4,,,arniesc01
13,Brent Ashton,25,QUE,LW,77,26,32,58,7,66,4.0,19,5,2,5,25,7,0,207,12.6,,,ashtobr01
14,Dave Babych,24,TOT,D,81,14,55,69,1,50,8.2,4,9,1,2,25,27,3,205,6.8,,,babycda01
14,Dave Babych,24,HAR,D,62,10,43,53,2,36,6.3,2,7,1,2,18,22,3,152,6.6,,,babycda01
14,Dave Babych,24,WIN,D,19,4,12,16,-1,14,1.9,2,2,0,0,7,5,0,53,7.5,,,babycda01
15,Wayne Babych,27,TOT,RW,54,17,22,39,6,77,2.6,14,3,0,2,16,6,0,97,17.5,,,babycwa01
15,Wayne Babych,27,HAR,RW,37,11,17,28,7,59,1.9,9,2,0,2,12,5,0,65,16.9,,,babycwa01
15,Wayne Babych,27,QUE,RW,15,6,5,11,0,18,0.8,5,1,0,0,4,1,0,32,18.8,,,babycwa01
15,Wayne Babych,27,PIT,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,,,babycwa01
16,Normand Baron,28,STL,LW,23,2,0,2,-6,39,-0.5,2,0,0,0,0,0,0,13,15.4,,,baronno01
17,Dave Barr,25,STL,RW,72,13,38,51,11,70,2.8,13,0,0,2,31,7,0,107,12.1,,,barrda01
18,John Barrett,27,TOT,D,79,2,15,17,-32,137,2.0,2,0,0,0,14,1,0,67,3.0,,,barrejo01
18,John Barrett,27,DET,D,65,2,12,14,-35,125,1.1,2,0,0,0,11,1,0,60,3.3,,,barrejo01
18,John Barrett,27,WSH,D,14,0,3,3,3,12,0.9,0,0,0,0,3,0,0,7,0.0,,,barrejo01
19,Robin Bartel,24,CGY,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,,,bartero01
20,Bob Bassen,20,NYI,C,11,2,1,3,0,6,0.0,2,0,0,0,1,0,0,5,40.0,,,bassebo01
21,Paul Baxter,30,CGY,D,47,4,3,7,4,194,1.8,3,0,1,0,3,0,0,41,9.8,,,baxtepa01
22,Yves Beaudoin,21,WSH,D,4,0,0,0,-4,0,-0.1,0,0,0,0,0,0,0,7,0.0,,,beaudyv01
23,Barry Beck,28,NYR,D,25,4,8,12,7,24,2.4,1,3,0,1,3,5,0,53,7.5,,,beckba01
24,Eddy Beers,26,TOT,LW,57,18,21,39,-5,32,2.2,10,8,0,1,16,5,0,135,13.3,,,beersed01
24,Eddy Beers,26,CGY,LW,33,11,10,21,-2,8,1.2,7,4,0,1,7,3,0,83,13.3,,,beersed01
24,Eddy Beers,26,STL,LW,24,7,11,18,-3,24,1.0,3,4,0,0,9,2,0,52,13.5,,,beersed01
25,Bruce Bell,20,STL,D,75,2,18,20,4,43,4.3,0,2,0,0,7,11,0,95,2.1,,,bellbr01
26,Neil Belland,24,VAN,D,7,1,2,3,-2,4,0.5,0,1,0,1,0,2,0,10,10.0,,,bellane01
27,Brian Bellows,21,MNS,RW,77,31,48,79,16,46,5.9,18,11,2,2,31,16,1,256,12.1,,,bellobr01
28,Jim Benning,22,TOR,D,52,4,21,25,-5,71,3.0,2,2,0,0,11,10,0,76,5.3,,,benniji01
29,Perry Berezan,21,CGY,C,55,12,21,33,20,39,2.0,10,0,2,3,19,0,2,117,10.3,,,berezpe01
30,Marc Bergevin,20,CBH,D,71,7,7,14,3,60,2.8,7,0,0,1,6,0,1,50,14.0,,,bergema01
31,Bo Berglund,30,TOT,RW,10,2,2,4,0,6,0.1,2,0,0,0,2,0,0,11,18.2,,,berglbo01
31,Bo Berglund,30,PHI,RW,7,0,2,2,0,4,-0.1,0,0,0,0,2,0,0,5,0.0,,,berglbo01
31,Bo Berglund,30,MNS,RW,3,2,0,2,0,2,0.2,2,0,0,0,0,0,0,6,33.3,,,berglbo01
32,Brad Berry,20,WIN,D,13,1,0,1,1,10,0.6,1,0,0,0,0,0,0,15,6.7,,,berrybr01
33,Scott Bjugstad,24,MNS,LW,80,43,33,76,6,24,6.2,27,14,2,7,20,11,2,217,19.8,,,bjugssc01
34,Mike Blaisdell,26,PIT,RW,66,15,14,29,15,36,1.8,15,0,0,0,12,2,0,124,12.1,,,blaismi01
35,John Blum,26,BOS,D,61,1,7,8,8,80,3.2,1,0,0,0,7,0,0,34,2.9,,,blumjo01
36,Doug Bodger,19,PIT,D,79,4,33,37,3,63,5.7,3,1,0,1,15,16,2,140,2.9,,,bodgedo01
37,Serge Boisvert,26,MTL,RW,9,2,2,4,1,2,0.2,2,0,0,0,2,0,0,18,11.1,,,boisvse01
38,Laurie Boschman,25,WIN,C,77,27,42,69,-27,241,4.1,22,3,2,2,30,12,0,158,17.1,,,boschla01
39,Mike Bossy*,29,NYI,RW,80,61,62,123,30,14,11.0,39,21,1,9,43,18,1,302,20.2,,,bossymi01
40,Tim Bothwell,30,HAR,D,62,2,8,10,11,53,3.3,2,0,0,0,8,0,0,50,4.0,,,bothwti01
41,Bruce Boudreau,31,CBH,C,7,1,0,1,1,2,0.0,1,0,0,0,0,0,0,3,33.3,,,boudrbr01
42,Charlie Bourgeois,26,TOT,D,60,7,12,19,17,244,4.3,6,1,0,1,11,0,1,64,10.9,,,bourgch01
42,Charlie Bourgeois,26,STL,D,31,2,7,9,8,116,2.2,1,1,0,1,6,0,1,34,5.9,,,bourgch01
